Year,Deal date,Title,Author,Publisher (best-effort),Category,Content term(s),Deal ID,Deal URL
2000,15-Dec-00,THRESHOLD,Frances Sherwood,Norton,Fiction,Jewish,1415,https://www.publishersmarketplace.com/deals/ss.cgi?d=1415
2001,22-May-01,IN THE IMAGE,Dara Horn,Norton,Fiction,Jewish,356,https://www.publishersmarketplace.com/deals/ss.cgi?d=356
2001,25-Jun-01,THE ASCENT OF ELI ISRAEL AND OTHER STORIES OF JERUSALEM,Jon Papernick,Arcade,Fiction,Israel,258,https://www.publishersmarketplace.com/deals/ss.cgi?d=258
2001,1-Oct-01,YOUR MOUTH IS LOVELY,Nancy Richler,Ecco,Fiction,Jewish,863,https://www.publishersmarketplace.com/deals/ss.cgi?d=863
2002,5-Mar-02,THE LIFE OF VALENTINE,Binnie Kirshenbaum,Ecco,Fiction,Jewish,1972,https://www.publishersmarketplace.com/deals/ss.cgi?d=1972
2002,6-May-02,A TRUMPET IN THE WADI,Sami Michael,Simon & Schuster,Fiction,Israel; Israeli,2348,https://www.publishersmarketplace.com/deals/ss.cgi?d=2348
2002,6-Aug-02,THE LAST JIHAD,Joel C. Rosenberg,Forge,Fiction,Israel; Israeli,2917,https://www.publishersmarketplace.com/deals/ss.cgi?d=2917
2002,12-Apr-02,MINA,Jonatha Ceely,Bantam Dell,Fiction,Jewish,2198,https://www.publishersmarketplace.com/deals/ss.cgi?d=2198
2002,20-Jun-02,"THANK YOU, PLEASE HOLD",Kim Green,Bantam Dell,Fiction,Jewish,2637,https://www.publishersmarketplace.com/deals/ss.cgi?d=2637
2002,4-Sep-02,THE THEATER OF CONSOLATION,Lilian Nattel,Scribner,Fiction,Jewish,3070,https://www.publishersmarketplace.com/deals/ss.cgi?d=3070
2002,26-Nov-02,ANATEVKA TENDER,Naama Goldstein,Scribner,Fiction,Jewish; Israel,3771,https://www.publishersmarketplace.com/deals/ss.cgi?d=3771
2002,2-Jul-02,LOST TRIBE,Paul Zakrzewski,Harper,Fiction,Jewish,2700,https://www.publishersmarketplace.com/deals/ss.cgi?d=2700
2002,15-Mar-02,BEIJING,Phil Gambone,University of Wisconsin Press,Fiction,Jews,2033,https://www.publishersmarketplace.com/deals/ss.cgi?d=2033
2003,3-Feb-03,THE VIEW FROM STALIN'S HEAD,Aaron Hamburger,Random House Trade Paperbacks,Fiction,Jewish,4137,https://www.publishersmarketplace.com/deals/ss.cgi?d=4137
2003,10-Nov-03,PHANTOM PAIN,Arnon Grunberg,Other Press,Fiction,Jewish,6614,https://www.publishersmarketplace.com/deals/ss.cgi?d=6614
2003,14-Oct-03,CHICKEN DREAMING CORN,Roy Hoffman,University of Georgia Press,Fiction,Jewish,6306,https://www.publishersmarketplace.com/deals/ss.cgi?d=6306
2003,29-Apr-03,CROSSING CALIFORNIA,Adam Langer,Riverhead,Fiction: Debut,Jewish,4863,https://www.publishersmarketplace.com/deals/ss.cgi?d=4863
2003,27-Mar-03,untitled,Walter Zacharius,Atria,Fiction,Israel,4567,https://www.publishersmarketplace.com/deals/ss.cgi?d=4567
2003,1-Oct-03,THE J.A.P. CHRONICLES,Isabel Rose,Doubleday,Fiction,Jewish,6199,https://www.publishersmarketplace.com/deals/ss.cgi?d=6199
2003,24-Jan-03,GAZA STATION,Joel C. Rosenberg,Forge,Fiction,Israel,4068,https://www.publishersmarketplace.com/deals/ss.cgi?d=4068
2003,5-Feb-03,OY PIONEER!,Marleen S. Barr,University of Wisconsin Press,Fiction,Jewish,4164,https://www.publishersmarketplace.com/deals/ss.cgi?d=4164
2003,10-Dec-03,NOT ME,Michael Lavigne,Random House,Fiction,Jewish,6907,https://www.publishersmarketplace.com/deals/ss.cgi?d=6907
2003,1-Oct-03,THE WAY OF THE WHORE,Tamara Faith Berger,Gutter Press,Fiction,Jewish,6195,https://www.publishersmarketplace.com/deals/ss.cgi?d=6195
2003,20-May-03,NOWHERE IN AFRICA,Stefanie Zweig,University of Wisconsin Press,Fiction,Jewish,5046,https://www.publishersmarketplace.com/deals/ss.cgi?d=5046
2003,27-Aug-03,BETTER HOMES AND HUSBANDS,Valerie Ann Leff,St. Martin's,Fiction,Jewish,5869,https://www.publishersmarketplace.com/deals/ss.cgi?d=5869
2003,19-Mar-03,SOME DANGER INVOLVED,Will Thomas,Touchstone,Fiction,Jewish,4517,https://www.publishersmarketplace.com/deals/ss.cgi?d=4517
